資源名稱,資源類型,地點,服務內容,電話,網址
"桃園市私立慈恩老人長期照顧中心(養護型)","1966 長照服務","桃園市中壢區","私立老人福利機構，收容對象：養護，核定床數 28 床","03-4558858",""
"桃園市私立長祐老人長期照顧中心(養護型)","1966 長照服務","桃園市中壢區","私立老人福利機構，收容對象：養護，核定床數 46 床","03-4356337",""
"桃園市私立東陽老人長期照顧中心(養護型)","1966 長照服務","桃園市中壢區","私立老人福利機構，收容對象：養護，核定床數 48 床","03-2850571",""
"財團法人桃園市私立甡光社會福利基金會附設桃園市私立甡光老人長期照顧中心(養護型)","1966 長照服務","桃園市平鎮區","私立老人福利機構，收容對象：養護，核定床數 196 床","03-4643380",""
"財團法人桃園市私立國宏老人長期照顧中心（養護型）","1966 長照服務","桃園市平鎮區","私立老人福利機構，收容對象：養護，核定床數 93 床","03-4582977",""
"桃園市私立瑞生老人長期照顧中心(養護型)","1966 長照服務","桃園市平鎮區","私立老人福利機構，收容對象：養護 長照，核定床數 42 床","03-4502966",""
"桃園市私立平鎮老人長期照顧中心(養護型)","1966 長照服務","桃園市平鎮區","私立老人福利機構，收容對象：養護，核定床數 42 床","03-4398361",""
"桃園市私立八德老人長期照顧中心(養護型)","1966 長照服務","桃園市八德區","私立老人福利機構，收容對象：養護 長照，核定床數 40 床","03-2182128",""
"桃園市私立明新老人長期照顧中心(養護型)","1966 長照服務","桃園市楊梅區","私立老人福利機構，收容對象：養護，核定床數 13 床","03-4314349",""
"桃園市私立富佑老人長期照顧中心(養護型)","1966 長照服務","桃園市楊梅區","私立老人福利機構，收容對象：養護，核定床數 49 床","03-4721972",""
"桃園市私立雲鵬老人長期照顧中心(養護型)","1966 長照服務","桃園市楊梅區","私立老人福利機構，收容對象：養護，核定床數 49 床","03-4881300",""
"桃園市私立眾生老人長期照顧中心(養護型)","1966 長照服務","桃園市大溪區","私立老人福利機構，收容對象：養護，核定床數 49 床","03-3887167",""
"桃園市私立大溪老人長期照顧中心(養護型)","1966 長照服務","桃園市大溪區","私立老人福利機構，收容對象：養護，核定床數 43 床","03-3870119",""
"桃園市蘆竹區老人長期照顧中心(養護型)","1966 長照服務","桃園市蘆竹區","私立老人福利機構，收容對象：養護，核定床數 200 床","03-3245369",""
"桃園市私立台北老人長期照顧中心（養護型）","1966 長照服務","桃園市蘆竹區","私立老人福利機構，收容對象：養護，核定床數 46 床","03-3246538",""
"桃園市私立友愛老人長期照顧中心（養護型）","1966 長照服務","桃園市蘆竹區","私立老人福利機構，收容對象：養護，核定床數 47 床","03-3027510",""
"桃園市私立馨禾老人長期照顧中心（養護型）","1966 長照服務","桃園市蘆竹區","私立老人福利機構，收容對象：養護，核定床數 49 床","03-3782533",""
"桃園市私立大園老人長期照顧中心（養護型）","1966 長照服務","桃園市大園區","私立老人福利機構，收容對象：養護，核定床數 44 床","03-3864499",""
"桃園市私立長青老人長期照顧中心（養護型）","1966 長照服務","桃園市大園區","私立老人福利機構，收容對象：養護，核定床數 49 床","03-3861559",""
"桃園市私立祥安老人長期照顧中心（養護型）","1966 長照服務","桃園市龜山區","私立老人福利機構，收容對象：養護，核定床數 46 床","03-3975862",""
"桃園市私立慈慧老人長期照顧中心（養護型）","1966 長照服務","桃園市龜山區","私立老人福利機構，收容對象：養護，核定床數 19 床","03-3194922",""
"桃園市私立愈健老人長期照顧中心(養護型)","1966 長照服務","桃園市龜山區","私立老人福利機構，收容對象：養護，核定床數 49 床","03-3181946",""
"桃園市私立吳木同老人長期照顧中心（養護型）","1966 長照服務","桃園市龜山區","私立老人福利機構，收容對象：養護，核定床數 49 床","03-3161021",""
"桃園市私立松林老人長期照顧中心（長期照護型）","1966 長照服務","桃園市龜山區","私立老人福利機構，收容對象：長照，核定床數 46 床","03-3288158",""
"桃園市私立友緣老人長期照顧中心（養護型）","1966 長照服務","桃園市龜山區","私立老人福利機構，收容對象：養護，核定床數 39 床","03-3195969",""
"桃園市私立宥恩老人長期照顧中心（養護型）","1966 長照服務","桃園市龜山區","私立老人福利機構，收容對象：養護，核定床數 31 床","03-3191665",""
"桃園市私立真愛老人長期照顧中心（養護型）","1966 長照服務","桃園市龜山區","私立老人福利機構，收容對象：養護，核定床數 32 床","02-82000148",""
"財團法人桃園市私立怡德老人長期照顧中心(養護型)","1966 長照服務","桃園市龍潭區","私立老人福利機構，收容對象：養護 長照，核定床數 200 床","03-4092468",""
"桃園市私立佳心老人長期照顧中心(養護型)","1966 長照服務","桃園市龍潭區","私立老人福利機構，收容對象：養護，核定床數 42 床","03-4995577",""
"桃園市私立厚德老人長期照顧中心(養護型)","1966 長照服務","桃園市龍潭區","私立老人福利機構，收容對象：養護，核定床數 49 床","03-4718866",""
"桃園市私立龍祥老人長期照顧中心(長期照護型)","1966 長照服務","桃園市龍潭區","私立老人福利機構，收容對象：長照，核定床數 42 床","03-4719302",""
"桃園市私立慈航老人長期照顧中心(養護型)","1966 長照服務","桃園市龍潭區","私立老人福利機構，收容對象：養護 長照，核定床數 43 床","03-4097532",""
"桃園市私立庭園老人長期照顧中心（養護型）","1966 長照服務","桃園市龍潭區","私立老人福利機構，收容對象：養護 長照，核定床數 36 床","03-4991812",""
"財團法人桃園市私立佳安老人長期照顧中心(養護型)","1966 長照服務","桃園市龍潭區","私立老人福利機構，收容對象：養護，核定床數 124 床","03-4111111",""
"桃園市私立愛心老人長期照顧中心(養護型)","1966 長照服務","桃園市龍潭區","私立老人福利機構，收容對象：養護，核定床數 22 床","03-4990650",""
"桃園市私立慈園老人長期照顧中心(養護型)","1966 長照服務","桃園市龍潭區","私立老人福利機構，收容對象：養護，核定床數 43 床","03-4700766",""
"財團法人天下為公社會福利基金會附設桃園市私立龍潭老人長期照顧中心(養護型)","1966 長照服務","桃園市龍潭區","私立老人福利機構，收容對象：養護，核定床數 141 床","03-4116889",""
"桃園市私立欣園老人長期照顧中心(養護型)","1966 長照服務","桃園市新屋區","私立老人福利機構，收容對象：養護，核定床數 31 床","03-4207286",""
"桃園市私立龍德老人長期照顧中心（養護型）","1966 長照服務","桃園市新屋區","私立老人福利機構，收容對象：養護，核定床數 49 床","03-4970361",""
"桃園市私立博愛老人長期照顧中心(養護型)","1966 長照服務","桃園市新屋區","私立老人福利機構，收容對象：養護，核定床數 48 床","03-4775570",""
"桃園市私立友德老人長期照顧中心(養護型)","1966 長照服務","桃園市蘆竹區","私立老人福利機構，收容對象：養護，核定床數 49 床","03-3029320",""
"桃園市私立少同老人長期照顧中心(養護型)","1966 長照服務","桃園市中壢區","私立老人福利機構，收容對象：養護，核定床數 48 床","03-4081905",""
"桃園市私立坤宏老人長期照顧中心(養護型)","1966 長照服務","桃園市桃園區","私立老人福利機構，收容對象：養護，核定床數 49 床","03-3670286",""
"桃園市私立海森老人長期照顧中心(養護型)","1966 長照服務","桃園市蘆竹區","私立老人福利機構，收容對象：養護，核定床數 49 床","03-3228886",""
"桃園市私立安生老人長期照顧中心(長期照護型)","1966 長照服務","桃園市中壢區","私立老人福利機構，收容對象：長照，核定床數 31 床","03-4510116",""
"桃園市私立泰安老人長期照顧中心(養護型)","1966 長照服務","桃園市新屋區","私立老人福利機構，收容對象：養護，核定床數 48 床","03-4861967",""
"臺北市私立上美老人長期照顧中心(養護型)","1966 長照服務","台北市士林區","私立老人福利機構，收容對象：養護，核定床數 33 床","02-28122366",""
"臺北市至善老人安養護中心","1966 長照服務","台北市士林區","公設
民營老人福利機構，收容對象：安養 養護 長照，核定床數 471 床","02-28832666",""
"臺北市私立璞園老人長期照顧中心(養護型)","1966 長照服務","台北市士林區","私立老人福利機構，收容對象：養護，核定床數 46 床","02-28163696",""
"臺北市私立祐心老人長期照顧中心(養護型)","1966 長照服務","台北市士林區","私立老人福利機構，收容對象：養護，核定床數 16 床","02-28310432",""
"臺北市私立永青老人長期照顧中心(養護型)","1966 長照服務","台北市士林區","私立老人福利機構，收容對象：養護 長照，核定床數 31 床","02-28761908",""
"臺北市私立祇福老人養護所","1966 長照服務","台北市士林區","私立老人福利機構，收容對象：養護，核定床數 39 床","02-28317713",""
"臺北市私立荷園老人長期照顧中心(養護型)","1966 長照服務","台北市士林區","私立老人福利機構，收容對象：養護，核定床數 39 床","02-28163696",""
"臺北市私立柏安老人養護所","1966 長照服務","台北市士林區","私立老人福利機構，收容對象：養護，核定床數 20 床","02-28333536",""
"臺北市私立松園老人長期照顧中心(養護型)","1966 長照服務","台北市士林區","私立老人福利機構，收容對象：養護，核定床數 49 床","02-88662097",""
"臺北市私立天玉老人長期照顧中心(長期照護型)","1966 長照服務","台北市士林區","私立老人福利機構，收容對象：長照，核定床數 39 床","02-28720239",""
"臺北市私立慧光老人養護所","1966 長照服務","台北市大同區","私立老人福利機構，收容對象：養護，核定床數 40 床","02-25582275",""
"臺北市私立敦煌老人長期照顧中心(養護型)","1966 長照服務","台北市大同區","私立老人福利機構，收容對象：養護，核定床數 29 床","02-25945133",""
"臺北市私立祥安尊榮老人長期照顧中心(養護型)","1966 長照服務","台北市大同區","私立老人福利機構，收容對象：養護，核定床數 47 床","02-25860098",""
"臺北市私立永安老人養護所","1966 長照服務","台北市大同區","私立老人福利機構，收容對象：養護，核定床數 49 床","02-25980197",""
"臺北市私立德寶老人養護所","1966 長照服務","台北市大同區","私立老人福利機構，收容對象：養護，核定床數 28 床","02-25522062",""
"臺北市私立仁家老人長期照顧中心(養護型)","1966 長照服務","台北市大同區","私立老人福利機構，收容對象：養護，核定床數 49 床","02-25530799",""
"臺北市私立建順老人長期照顧中心(養護型)","1966 長照服務","台北市大同區","私立老人福利機構，收容對象：養護，核定床數 30 床","02-25520199",""
"臺北市私立建興老人長期照顧中心(養護型)","1966 長照服務","台北市大同區","私立老人福利機構，收容對象：養護，核定床數 31 床","02-25520199",""
"臺北市私立晉安老人長期照顧中心(養護型)","1966 長照服務","台北市大同區","私立老人福利機構，收容對象：養護，核定床數 49 床","02-25982301
02-25982401",""
"臺北市私立祥寶尊榮老人長期照顧中心(養護型)","1966 長照服務","台北市大同區","私立老人福利機構，收容對象：養護，核定床數 49 床","02-25501118",""
"臺北市私立天恩老人長期照顧中心(養護型)","1966 長照服務","台北市大安區","私立老人福利機構，收容對象：養護，核定床數 48 床","02-23620457
 02-23634382",""
"臺北市私立新常安老人長期照顧中心(養護型)","1966 長照服務","台北市大安區","私立老人福利機構，收容對象：養護，核定床數 39 床","02-23775448",""
"臺北市私立健全老人長期照顧中心(養護型)","1966 長照服務","台北市大安區","私立老人福利機構，收容對象：養護 長照，核定床數 47 床","02-23943265~6",""
"臺北市私立嘉恩老人長期照顧中心(養護型)","1966 長照服務","台北市大安區","私立老人福利機構，收容對象：養護，核定床數 43 床","02-27371330",""
"臺北市私立康寧老人長期照顧中心(養護型)","1966 長照服務","台北市大安區","私立老人福利機構，收容對象：養護，核定床數 30 床","02-27053835",""
"臺北市私立上上老人養護所","1966 長照服務","台北市大安區","私立老人福利機構，收容對象：養護，核定床數 15 床","02-27032223",""
"臺北市私立晨欣老人長期照顧中心(養護型)","1966 長照服務","台北市中山區","私立老人福利機構，收容對象：養護，核定床數 27 床","02-25212226",""
"臺北市私立松湛園老人養護所","1966 長照服務","台北市中山區","私立老人福利機構，收容對象：養護，核定床數 37 床","02-25652281",""
"臺北市私立松青園老人養護所","1966 長照服務","台北市中山區","私立老人福利機構，收容對象：養護，核定床數 29 床","02-25110903",""
"臺北市私立法泉老人長期照顧中心(養護型)","1966 長照服務","台北市中山區","私立老人福利機構，收容對象：養護，核定床數 39 床","02-87731706",""
"臺北市私立龍江老人長期照顧中心(養護型)","1966 長照服務","台北市中山區","私立老人福利機構，收容對象：養護，核定床數 37 床","02-25672208",""
"臺北市私立仁群老人長期照顧中心(養護型)","1966 長照服務","台北市中山區","私立老人福利機構，收容對象：養護，核定床數 48 床","02-25013369",""
"臺北市私立群仁老人長期照顧中心(養護型)","1966 長照服務","台北市中山區","私立老人福利機構，收容對象：養護，核定床數 42 床","02-25010048",""
"臺北市私立福成老人長期照顧中心(養護型)","1966 長照服務","台北市中山區","私立老人福利機構，收容對象：養護，核定床數 29 床","02-25982507",""
"臺北市私立福喜老人長期照顧中心(養護型)","1966 長照服務","台北市中山區","私立老人福利機構，收容對象：養護，核定床數 29 床","02-25919087",""
"臺北市私立仁泰老人長期照顧中心(養護型)","1966 長照服務","台北市中正區","私立老人福利機構，收容對象：養護，核定床數 31 床","02-33931662",""
"臺北市私立博愛老人長期照顧中心(養護型)","1966 長照服務","台北市中正區","私立老人福利機構，收容對象：養護，核定床數 41 床","02-23671050  02-23671819",""
"臺北市私立明德老人長期照顧中心(養護型)","1966 長照服務","台北市中正區","私立老人福利機構，收容對象：養護，核定床數 20 床","02-23090381",""
"臺北市私立大園老人長期照顧中心(養護型)","1966 長照服務","台北市中正區","私立老人福利機構，收容對象：養護，核定床數 34 床","02-33931661",""
"臺北市私立銀髮族老人養護所","1966 長照服務","台北市內湖區","私立老人福利機構，收容對象：養護，核定床數 46 床","02-27926006",""
"臺北市私立童音老人長期照顧中心(養護型)","1966 長照服務","台北市內湖區","私立老人福利機構，收容對象：養護 長照，核定床數 37 床","02-26345131
 02-26345132",""
"臺北市私立湖濱老人長期照顧中心(養護型)","1966 長照服務","台北市內湖區","私立老人福利機構，收容對象：養護，核定床數 18 床","02-27933081",""
"臺北市私立瑞安老人長期照顧中(養護型)","1966 長照服務","台北市內湖區","私立老人福利機構，收容對象：養護，核定床數 33 床","02-27925292",""
"臺北市私立祥家老人養護所","1966 長照服務","台北市內湖區","私立老人福利機構，收容對象：養護，核定床數 46 床","02-27922281",""
"臺北市私立文德老人長期照顧中心(養護型)","1966 長照服務","台北市內湖區","私立老人福利機構，收容對象：養護，核定床數 31 床","02-26581303",""
"臺北市政府社會局老人自費安養中心","1966 長照服務","台北市文山區","公立老人福利機構，收容對象：安養，核定床數 366 床","02-29393146",""
"臺北市私立景安老人長期照顧中心(養護型)","1966 長照服務","台北市文山區","私立老人福利機構，收容對象：養護，核定床數 41 床","02-29325698",""
"臺北市私立心慈老人養護所","1966 長照服務","台北市文山區","私立老人福利機構，收容對象：養護，核定床數 22 床","02-29314730",""
"臺北市私立慧誠老人長期照顧中心(養護型)","1966 長照服務","台北市文山區","私立老人福利機構，收容對象：養護，核定床數 48 床","02-29392222",""
"臺北市私立蓮馨老人長期照顧中心(養護型)","1966 長照服務","台北市文山區","私立老人福利機構，收容對象：養護，核定床數 29 床","02-82300373",""
"臺北市私立慈安老人長期照顧中心(養護型)","1966 長照服務","台北市文山區","私立老人福利機構，收容對象：養護，核定床數 47 床","02-29337745",""
"臺北市私立美安老人長期照顧中心(養護型)","1966 長照服務","台北市文山區","私立老人福利機構，收容對象：養護，核定床數 45 床","02-29316388",""
"臺北市私立景興老人長期照顧中心(養護型)","1966 長照服務","台北市文山區","私立老人福利機構，收容對象：養護，核定床數 38 床","02-29349412",""
"臺北市私立三園老人長期照顧中心(養護型)","1966 長照服務","台北市文山區","私立老人福利機構，收容對象：養護，核定床數 48 床","02-29321147",""
"臺北市私立吉祥老人長期照顧中心(養護型)","1966 長照服務","台北市文山區","私立老人福利機構，收容對象：養護，核定床數 43 床","02-22343511",""
"臺北市文山老人養護中心","1966 長照服務","台北市文山區","公設
民營老人福利機構，收容對象：養護，核定床數 46 床","02-89313190",""
"臺北市兆如老人安養護中心","1966 長照服務","台北市文山區","公設
民營老人福利機構，收容對象：安養 養護 長照，核定床數 453 床","02-86616365",""
"臺北市私立慧華老人長期照顧中心(養護型)","1966 長照服務","台北市文山區","私立老人福利機構，收容對象：養護，核定床數 30 床","02-29356272",""
"臺北市私立萬芳老人長期照顧中心(養護型)","1966 長照服務","台北市文山區","私立老人福利機構，收容對象：養護，核定床數 48 床","02-22303000",""
"臺北市私立尊暉老人長期照顧中心(養護型)","1966 長照服務","台北市北投區","私立老人福利機構，收容對象：養護，核定床數 26 床","02-28761997",""
"臺北市私立賢暉老人長期照顧中心(養護型)","1966 長照服務","台北市北投區","私立老人福利機構，收容對象：養護，核定床數 18 床","02-28710770",""
"臺北市私立高德老人長期照顧中心(養護型)","1966 長照服務","台北市北投區","私立老人福利機構，收容對象：養護，核定床數 45 床","02-28982418",""
"臺北市私立陽明山老人長期照顧中心(養護型)","1966 長照服務","台北市北投區","私立老人福利機構，收容對象：養護，核定床數 36 床","02-28615006",""
"臺北市私立全家老人長期照顧中心(養護型)","1966 長照服務","台北市北投區","私立老人福利機構，收容對象：養護，核定床數 29 床","02-28761692",""
"臺北市私立倚青園老人長期照顧中心(養護型)","1966 長照服務","台北市北投區","私立老人福利機構，收容對象：養護，核定床數 31 床","02-28283533",""
"臺北市私立榮健老人長期照顧中心(養護型)","1966 長照服務","台北市北投區","私立老人福利機構，收容對象：養護，核定床數 46 床","02-28216113",""
"臺北市私立全寶老人長期照顧中心(養護型)","1966 長照服務","台北市北投區","私立老人福利機構，收容對象：養護，核定床數 24 床","02-28710793",""
"臺北市私立義行老人長期照顧中心(養護型)","1966 長照服務","台北市北投區","私立老人福利機構，收容對象：養護，核定床數 49 床","02-28767880",""
"臺北市私立建民老人長期照顧中心(養護型)","1966 長照服務","台北市北投區","私立老人福利機構，收容對象：養護，核定床數 34 床","02-28250799",""
"臺北市私立榮祥老人長期照顧中心(養護型)","1966 長照服務","台北市北投區","私立老人福利機構，收容對象：養護，核定床數 34 床","02-28213709",""
"臺北市私立北投老人長期照顧中心(養護型)","1966 長照服務","台北市北投區","私立老人福利機構，收容對象：養護，核定床數 17 床","02-28937412",""
"臺北市私立全泰老人長期照顧中心(養護型)","1966 長照服務","台北市北投區","私立老人福利機構，收容對象：養護，核定床數 41 床","02-28747739",""
"臺北市私立崇順老人養護所","1966 長照服務","台北市北投區","私立老人福利機構，收容對象：養護，核定床數 27 床","02-28581979",""
"臺北市私立聖心老人養護所","1966 長照服務","台北市北投區","私立老人福利機構，收容對象：養護，核定床數 18 床","02-28913890",""
"臺北市私立精英國際老人長期照顧中心(養護型)","1966 長照服務","台北市北投區","私立老人福利機構，收容對象：養護，核定床數 26 床","02-28582701",""
"臺北市私立怡靜老人長期照顧中心(養護型)","1966 長照服務","台北市北投區","私立老人福利機構，收容對象：養護，核定床數 23 床","02-28200437",""
"臺北市私立貴族老人長期照顧中心(養護型)","1966 長照服務","台北市北投區","私立老人福利機構，收容對象：養護，核定床數 42 床","02-28965555",""
"臺北市私立行義老人長期照顧中心(養護型)","1966 長照服務","台北市北投區","私立老人福利機構，收容對象：養護，核定床數 49 床","02-28729599",""
"臺北市私立豪門老人長期照顧中心(養護型)","1966 長照服務","台北市北投區","私立老人福利機構，收容對象：養護，核定床數 42 床","02-28954492",""
"臺北市私立安安老人長期照顧中心(養護型)","1966 長照服務","台北市北投區","私立老人福利機構，收容對象：養護，核定床數 12 床","02-28953298",""
"臺北市私立奇里岸老人長期照顧中心(養護型)","1966 長照服務","台北市北投區","私立老人福利機構，收容對象：養護，核定床數 36 床","02-28275139",""
"財團法人台灣基督教道生院附設臺北市私立道生院老人長期照顧中心(養護型)","1966 長照服務","台北市北投區","私立老人福利機構，收容對象：養護，核定床數 88 床","02-28936161",""
"臺北市立浩然敬老院","1966 長照服務","台北市北投區","公立老人福利機構，收容對象：安養 養護，核定床數 400 床","02-28581081",""
"臺北市私立同德老人長期照顧中心(養護型)","1966 長照服務","台北市北投區","私立老人福利機構，收容對象：養護，核定床數 41 床","02-28281328",""
"臺北市私立群英老人長期照顧中心(養護型)","1966 長照服務","台北市松山區","私立老人福利機構，收容對象：養護，核定床數 24 床","02-25791400",""
"臺北市私立台大老人長期照顧中心(養護型)","1966 長照服務","台北市松山區","私立老人福利機構，收容對象：養護，核定床數 24 床","02-25792816",""
"臺北市私立仁仁老人長期照顧中心(養護型)","1966 長照服務","台北市松山區","私立老人福利機構，收容對象：養護，核定床數 34 床","02-27659900",""
"臺北市私立康壯老人長期照顧中心(養護型)","1966 長照服務","台北市松山區","私立老人福利機構，收容對象：養護，核定床數 49 床","02-27686697",""
"臺北市私立倚青苑老人養護所","1966 長照服務","台北市信義區","私立老人福利機構，收容對象：養護，核定床數 28 床","02-27477232",""
"臺北市私立康庭老人養護所","1966 長照服務","台北市信義區","私立老人福利機構，收容對象：養護，核定床數 29 床","02-23460684",""
"臺北市私立福安老人長期照顧中心(養護型)","1966 長照服務","台北市南港區","私立老人福利機構，收容對象：養護，核定床數 20 床","02-27850584",""
"臺北市私立葉媽媽老人長期照顧中心(養護型)","1966 長照服務","台北市萬華區","私立老人福利機構，收容對象：養護，核定床數 30 床","02-23329986",""
"財團法人天主教失智老人社會福利基金會附設臺北市私立聖若瑟失智老人養護中心","1966 長照服務","台北市萬華區","私立老人福利機構，收容對象：失智，核定床數 62 床","02-23046715~6
02-23046602",""
"臺北市私立葉爸爸老人長期照顧中心(養護型)","1966 長照服務","台北市萬華區","私立老人福利機構，收容對象：養護，核定床數 31 床","02-23329985",""
"臺北市私立中山老人長期照顧中心(養護型)","1966 長照服務","台北市萬華區","私立老人福利機構，收容對象：養護，核定床數 26 床","02-23759590",""
"財團法人臺北市私立恆安老人長期照顧中心(長期照護型)","1966 長照服務","台北市萬華區","私立老人福利機構，收容對象：長照，核定床數 117 床","02-23327973",""
"財團法人臺北市私立愛愛院","1966 長照服務","台北市萬華區","私立老人福利機構，收容對象：養護，核定床數 238 床","02-23060493",""
"臺北市私立軒儀老人長期照顧中心(養護型)","1966 長照服務","台北市萬華區","私立老人福利機構，收容對象：養護，核定床數 47 床","02-23088661",""
"臺北市私立華安老人長期照護中心","1966 長照服務","台北市大安區","私立老人福利機構，收容對象：長照，核定床數 20 床","02-27717172#60061",""
"臺北市私立全民老人長期照顧中心(養護型)","1966 長照服務","台北市北投區","私立老人福利機構，收容對象：養護，核定床數 24 床","02-28711625
 02-28316666",""
"衛生福利部北區老人之家(含頤苑大廈)","1966 長照服務","新北市新店區","公立老人福利機構，收容對象：安養 養護 長照，核定床數 602 床","02-2666-8695
02-2666-6497",""
"財團法人台灣省私立健順養護中心","1966 長照服務","新北市深坑區","私立老人福利機構，收容對象：失智 養護 長照，核定床數 134 床","02-2662-2499",""
"財團法人臺灣省私立臺北仁濟院附設仁濟安老所","1966 長照服務","新北市淡水區","私立老人福利機構，收容對象：安養，核定床數 122 床","02-2809-5600",""
"財團法人新北市私立台灣天主教安老院","1966 長照服務","新北市八里區","私立老人福利機構，收容對象：養護 安養，核定床數 78 床","02-26102034",""
"新北市私立三禾老人長期照顧中心(長期照護型)","1966 長照服務","新北市三芝區","私立老人福利機構，收容對象：長照，核定床數 46 床","02-26363222",""
"新北市私立仁惠老人長期照顧中心(養護型)","1966 長照服務","新北市三芝區","私立老人福利機構，收容對象：養護，核定床數 49 床","02-26365222",""
"新北市私立長勤老人長期照顧中心（養護型)","1966 長照服務","新北市三芝區","私立老人福利機構，收容對象：養護，核定床數 49 床","02-26366887",""
"財團法人台灣基督長老教會雙連教會附設新北市私立雙連安養中心","1966 長照服務","新北市三芝區","私立老人福利機構，收容對象：失智 養護 安養，核定床數 432 床","02-26365999",""
"新北市私立鴻澄老人長期照顧中心(養護型)","1966 長照服務","新北市三重區","私立老人福利機構，收容對象：養護，核定床數 35 床","02-29791130",""
"新北市私立大德老人長期照顧中心(養護型)","1966 長照服務","新北市三重區","私立老人福利機構，收容對象：養護，核定床數 39 床","02-22870889",""
"新北市私立心侑老人長期照顧中心(養護型)","1966 長照服務","新北市三重區","私立老人福利機構，收容對象：養護，核定床數 29 床","02-22819099",""
"新北市私立幸福老人長期照顧中心(養護型)","1966 長照服務","新北市三重區","私立老人福利機構，收容對象：養護，核定床數 46 床","02-85122666",""
"新北市私立豐禾老人長期照顧中心(養護型)","1966 長照服務","新北市三重區","私立老人福利機構，收容對象：養護，核定床數 45 床","02-89720166",""
"新北市私立靜園老人長期照顧中心(養護型)","1966 長照服務","新北市三重區","私立老人福利機構，收容對象：養護，核定床數 49 床","02-89731580",""
"新北市私立今光愛心老人養護中心","1966 長照服務","新北市三重區","私立老人福利機構，收容對象：養護，核定床數 48 床","02-29768888",""
"新北市私立大安老人長期照顧中心（養護型）","1966 長照服務","新北市三重區","私立老人福利機構，收容對象：養護，核定床數 24 床","02-89819911",""
"新北市私立祐安老人長期照顧中心（養護型）","1966 長照服務","新北市三重區","私立老人福利機構，收容對象：養護，核定床數 49 床","02-22866311",""
