"資源名稱","資源類型","地點","服務內容","電話","網址"
"桃園市私立禾安老人長期照顧中心(養護型)","醫療健康","桃園市桃園區","私立老人福利機構，收容對象：養護，核定床數 49 床。負責人：王世舜","03-3329899",""
"桃園市私立莊敬園老人長期照顧中心(養護型)","醫療健康","桃園市桃園區","私立老人福利機構，收容對象：養護，核定床數 49 床。負責人：沈思叡","03-3250813",""
"桃園市私立慈恩老人長期照顧中心(養護型)","醫療健康","桃園市中壢區","私立老人福利機構，收容對象：養護，核定床數 28 床。負責人：廖千惠","03-4558858",""
"桃園市私立長祐老人長期照顧中心(養護型)","醫療健康","桃園市中壢區","私立老人福利機構，收容對象：養護，核定床數 46 床。負責人：沈益平","03-4356337",""
"桃園市私立東陽老人長期照顧中心(養護型)","醫療健康","桃園市中壢區","私立老人福利機構，收容對象：養護，核定床數 48 床。負責人：簡麗玉","03-2850571",""
"財團法人桃園市私立甡光社會福利基金會附設桃園市私立甡光老人長期照顧中心(養護型)","醫療健康","桃園市平鎮區","私立老人福利機構，收容對象：養護，核定床數 196 床。負責人：楊牡真","03-4643380",""
"財團法人桃園市私立國宏老人長期照顧中心（養護型）","醫療健康","桃園市平鎮區","私立老人福利機構，收容對象：養護，核定床數 93 床。負責人：吳黃玉英","03-4582977",""
"桃園市私立瑞生老人長期照顧中心(養護型)","醫療健康","桃園市平鎮區","私立老人福利機構，收容對象：養護 長照，核定床數 42 床。負責人：陳瑞玉","03-4502966",""
"桃園市私立平鎮老人長期照顧中心(養護型)","醫療健康","桃園市平鎮區","私立老人福利機構，收容對象：養護，核定床數 42 床。負責人：陳富爾","03-4398361",""
"桃園市私立八德老人長期照顧中心(養護型)","醫療健康","桃園市八德區","私立老人福利機構，收容對象：養護 長照，核定床數 40 床。負責人：王清明","03-2182128",""
"桃園市私立明新老人長期照顧中心(養護型)","醫療健康","桃園市楊梅區","私立老人福利機構，收容對象：養護，核定床數 13 床。負責人：陸欣宜","03-4314349",""
"桃園市私立富佑老人長期照顧中心(養護型)","醫療健康","桃園市楊梅區","私立老人福利機構，收容對象：養護，核定床數 49 床。負責人：鄭玉蓮","03-4721972",""
"桃園市私立雲鵬老人長期照顧中心(養護型)","醫療健康","桃園市楊梅區","私立老人福利機構，收容對象：養護，核定床數 49 床。負責人：李鈺堂","03-4881300",""
"桃園市私立眾生老人長期照顧中心(養護型)","醫療健康","桃園市大溪區","私立老人福利機構，收容對象：養護，核定床數 49 床。負責人：徐芬","03-3887167",""
"桃園市私立大溪老人長期照顧中心(養護型)","醫療健康","桃園市大溪區","私立老人福利機構，收容對象：養護，核定床數 43 床。負責人：王鐶潤","03-3870119",""
"桃園市蘆竹區老人長期照顧中心(養護型)","醫療健康","桃園市蘆竹區","私立老人福利機構，收容對象：養護，核定床數 200 床。負責人：鄭貴華","03-3245369",""
"桃園市私立台北老人長期照顧中心（養護型）","醫療健康","桃園市蘆竹區","私立老人福利機構，收容對象：養護，核定床數 46 床。負責人：張永當","03-3246538",""
"桃園市私立友愛老人長期照顧中心（養護型）","醫療健康","桃園市蘆竹區","私立老人福利機構，收容對象：養護，核定床數 47 床。負責人：游?妹","03-3027510",""
"桃園市私立馨禾老人長期照顧中心（養護型）","醫療健康","桃園市蘆竹區","私立老人福利機構，收容對象：養護，核定床數 49 床。負責人：儲喻如","03-3782533",""
"桃園市私立大園老人長期照顧中心（養護型）","醫療健康","桃園市大園區","私立老人福利機構，收容對象：養護，核定床數 44 床。負責人：李應發","03-3864499",""
"桃園市私立長青老人長期照顧中心（養護型）","醫療健康","桃園市大園區","私立老人福利機構，收容對象：養護，核定床數 49 床。負責人：黃漢清","03-3861559",""
"桃園市私立祥安老人長期照顧中心（養護型）","醫療健康","桃園市龜山區","私立老人福利機構，收容對象：養護，核定床數 46 床。負責人：黃日華","03-3975862",""
"桃園市私立慈慧老人長期照顧中心（養護型）","醫療健康","桃園市龜山區","私立老人福利機構，收容對象：養護，核定床數 19 床。負責人：鍾鳳連","03-3194922",""
"桃園市私立愈健老人長期照顧中心(養護型)","醫療健康","桃園市龜山區","私立老人福利機構，收容對象：養護，核定床數 49 床。負責人：陳敬吾","03-3181946",""
"桃園市私立吳木同老人長期照顧中心（養護型）","醫療健康","桃園市龜山區","私立老人福利機構，收容對象：養護，核定床數 49 床。負責人：吳孟育","03-3161021",""
"桃園市私立松林老人長期照顧中心（長期照護型）","醫療健康","桃園市龜山區","私立老人福利機構，收容對象：長照，核定床數 46 床。負責人：黃銘宏","03-3288158",""
"桃園市私立友緣老人長期照顧中心（養護型）","醫療健康","桃園市龜山區","私立老人福利機構，收容對象：養護，核定床數 39 床。負責人：陳彥榕","03-3195969",""
"桃園市私立宥恩老人長期照顧中心（養護型）","醫療健康","桃園市龜山區","私立老人福利機構，收容對象：養護，核定床數 31 床。負責人：陳勝烽","03-3191665",""
"桃園市私立真愛老人長期照顧中心（養護型）","醫療健康","桃園市龜山區","私立老人福利機構，收容對象：養護，核定床數 32 床。負責人：許亨任","02-82000148",""
"財團法人桃園市私立怡德老人長期照顧中心(養護型)","醫療健康","桃園市龍潭區","私立老人福利機構，收容對象：養護 長照，核定床數 200 床。負責人：林哲弘","03-4092468",""
"桃園市私立佳心老人長期照顧中心(養護型)","醫療健康","桃園市龍潭區","私立老人福利機構，收容對象：養護，核定床數 42 床。負責人：黃建發","03-4995577",""
"桃園市私立厚德老人長期照顧中心(養護型)","醫療健康","桃園市龍潭區","私立老人福利機構，收容對象：養護，核定床數 49 床。負責人：謝孟君","03-4718866",""
"桃園市私立龍祥老人長期照顧中心(長期照護型)","醫療健康","桃園市龍潭區","私立老人福利機構，收容對象：長照，核定床數 42 床。負責人：賴庭槐","03-4719302",""
"桃園市私立慈航老人長期照顧中心(養護型)","醫療健康","桃園市龍潭區","私立老人福利機構，收容對象：養護 長照，核定床數 43 床。負責人：翁廷升","03-4097532",""
"桃園市私立庭園老人長期照顧中心（養護型）","醫療健康","桃園市龍潭區","私立老人福利機構，收容對象：養護 長照，核定床數 36 床。負責人：劉豈賓","03-4991812",""
"財團法人桃園市私立佳安老人長期照顧中心(養護型)","醫療健康","桃園市龍潭區","私立老人福利機構，收容對象：養護，核定床數 124 床。負責人：吳有成","03-4111111",""
"桃園市私立愛心老人長期照顧中心(養護型)","醫療健康","桃園市龍潭區","私立老人福利機構，收容對象：養護，核定床數 22 床。負責人：鍾朝鱗","03-4990650",""
"桃園市私立慈園老人長期照顧中心(養護型)","醫療健康","桃園市龍潭區","私立老人福利機構，收容對象：養護，核定床數 43 床。負責人：黃翊慈","03-4700766",""
"財團法人天下為公社會福利基金會附設桃園市私立龍潭老人長期照顧中心(養護型)","醫療健康","桃園市龍潭區","私立老人福利機構，收容對象：養護，核定床數 141 床。負責人：胡世賢","03-4116889",""
"桃園市私立欣園老人長期照顧中心(養護型)","醫療健康","桃園市新屋區","私立老人福利機構，收容對象：養護，核定床數 31 床。負責人：李富森","03-4207286",""
"桃園市私立龍德老人長期照顧中心（養護型）","醫療健康","桃園市新屋區","私立老人福利機構，收容對象：養護，核定床數 49 床。負責人：林淑虹","03-4970361",""
"桃園市私立博愛老人長期照顧中心(養護型)","醫療健康","桃園市新屋區","私立老人福利機構，收容對象：養護，核定床數 48 床。負責人：江忠礎","03-4775570",""
"桃園市私立友德老人長期照顧中心(養護型)","醫療健康","桃園市蘆竹區","私立老人福利機構，收容對象：養護，核定床數 49 床。負責人：楊金璇","03-3029320",""
"桃園市私立少同老人長期照顧中心(養護型)","醫療健康","桃園市中壢區","私立老人福利機構，收容對象：養護，核定床數 48 床。負責人：葉秀敏","03-4081905",""
"桃園市私立坤宏老人長期照顧中心(養護型)","醫療健康","桃園市桃園區","私立老人福利機構，收容對象：養護，核定床數 49 床。負責人：張風文","03-3670286",""
"桃園市私立海森老人長期照顧中心(養護型)","醫療健康","桃園市蘆竹區","私立老人福利機構，收容對象：養護，核定床數 49 床。負責人：蔡雅芳","03-3228886",""
"桃園市私立安生老人長期照顧中心(長期照護型)","醫療健康","桃園市中壢區","私立老人福利機構，收容對象：長照，核定床數 31 床。負責人：李懿城","03-4510116",""
"桃園市私立泰安老人長期照顧中心(養護型)","醫療健康","桃園市新屋區","私立老人福利機構，收容對象：養護，核定床數 48 床。負責人：羅易井","03-4861967",""
